species name (Kudrna et al. 2011);full species name (Kudrna et al. 2011);Family;range.size;temp.mean;temp.ci.95.low;temp.ci.95.up;temp.min;temp.max;temp.sd;temp.median;range.ann.temp.mean;range.ann.temp.ci.95.low;range.ann.temp.ci.95.up;range.ann.temp.min;range.ann.temp.max.;range.ann.temp.sd;range.ann.temp.median;precip.mean;precip.ci.95.low;precip.ci.95.up;precip.min;precip.max;precip.sd;precip.median;range.ann.precip.mean;range.ann.precip.ci.95.low;range.ann.precip.ci.95.up;range.ann.precip.min;range.ann.precip.max;range.ann.precip.sd;range.ann.precip.median;gdd.feb.mean;gdd.feb.ci.95.low;gdd.feb.ci.95.up;gdd.feb.min;gdd.feb.max;gdd.feb.sd;gdd.feb.median;gdd.apr.mean;gdd.apr.ci.95.low;gdd.apr.ci.95.up;gdd.apr.min;gdd.apr.max;gdd.apr.sd;gdd.apr.median;gdd.june.mean;gdd.june.ci.95.low;gdd.june.ci.95.up;gdd.june.min;gdd.june.max;gdd.june.sd;gdd.june.median;gdd.aug.mean;gdd.aug.ci.95.low;gdd.aug.ci.95.up;gdd.aug.min;gdd.aug.max;gdd.aug.sd;gdd.aug.median;swc.mean;swc.ci.95.low;swc.ci.95.up;swc.min;swc.max;swc.sd;swc.median
Polyommatus icarus;Polyommatus icarus (Rottemburg, 1775);Lycaenidae;1476;9.07;8.86;9.28;-3.1;18.64;4.11;8.99;17.97;17.78;18.17;8.58;28.56;3.81;17.94;789.28;773.26;805.31;260.25;3042.73;313.87;696.48;62.79;61.13;64.45;16.83;247.18;32.53;53.78;69.41;65.01;73.8;0.07;450.89;86.06;34.13;251.54;240.56;262.53;0.11;1087.91;215.2;198.29;817.07;796.95;837.2;68.19;2042.82;394.18;762.79;1631.23;1599.72;1662.73;253.1;3353.42;617.02;1558.44;0.44;0.43;0.45;0.15;0.89;0.13;0.43
Polyommatus iphigenia;Polyommatus iphigenia (Herrich-Schäffer, 1847);Lycaenidae;2;13.91;12.19;15.62;13.77;14.04;0.19;13.91;16.24;13.34;19.13;16.01;16.46;0.32;16.24;735.87;386.37;1085.37;708.36;763.38;38.9;735.87;113.74;74.12;153.36;110.62;116.86;4.41;113.74;138;132.32;143.69;137.56;138.45;0.63;138;444.24;299.91;588.57;432.88;455.6;16.06;444.24;1236.35;888.74;1583.96;1208.99;1263.71;38.69;1236.35;2317.3;1786.06;2848.54;2275.49;2359.11;59.13;2317.3;0.38;0.32;0.44;0.38;0.39;0.01;0.38
Polyommatus nivescens;Polyommatus nivescens (Keferstein, 1851);Lycaenidae;26;12.74;11.78;13.7;8.38;17.91;2.37;12.31;16.89;16.3;17.48;12.34;19.17;1.47;17.39;585.51;512.07;658.94;260.25;1028.59;181.81;555.69;50.27;43.96;56.58;31.51;115.08;15.63;48.81;130.77;88.48;173.06;25.53;448.51;104.7;96.46;414.31;320.35;508.26;114.24;1064.24;232.61;355.98;1090.99;948.48;1233.51;520.36;1967.07;352.84;1011.28;2140.52;1951.53;2329.51;1269.84;3159.29;467.9;2066.95;0.3;0.27;0.33;0.15;0.5;0.07;0.28
Polyommatus orphicus;Polyommatus orphicus Kolev, 2005;Lycaenidae;9;10.09;8.91;11.27;7.38;12.1;1.54;10.12;20.56;19.5;21.61;18.66;22.59;1.37;20.68;692.11;576.72;807.5;511.79;988.31;150.11;676.54;43.54;29.53;57.55;26.81;77.12;18.23;37.29;31.03;19.41;42.66;11.9;54.48;15.12;26.27;234.41;169.28;299.53;107.17;360.7;84.73;239.92;910.54;753.81;1067.28;573.29;1187.02;203.9;950.17;1842.62;1594.95;2090.29;1294.92;2273.19;322.21;1905.04;0.3;0.26;0.33;0.23;0.4;0.05;0.3
Polyommatus ripartii;Polyommatus ripartii (Freyer, 1830);Lycaenidae;59;10.96;10.3;11.63;3.25;15.96;2.53;11.02;17.54;16.96;18.12;10.72;22.72;2.24;17.38;805.41;753.66;857.17;475.8;1330.25;198.58;769.04;68.88;61.46;76.3;31.62;162.53;28.47;62.54;70.84;56.29;85.39;0.97;291.74;55.82;57;282.43;244.55;320.32;5.38;705.12;145.37;251.28;913.19;836.62;989.75;166.78;1585.34;293.8;894.92;1847.12;1730.1;1964.13;599.03;2808.87;449.04;1848.99;0.38;0.36;0.41;0.24;0.62;0.09;0.38
Polyommatus semiargus;Polyommatus semiargus (Rottemburg, 1775);Lycaenidae;930;7.91;7.67;8.14;-2.12;17.56;3.63;8.26;19.12;18.91;19.34;9.98;28.91;3.28;19;755.5;740.62;770.37;363.52;1797.99;231.16;684.83;55.86;54.33;57.4;16.83;180.65;23.81;50.61;42.15;39.02;45.27;0.07;424.67;48.55;25.07;183.68;174.32;193.04;0.11;983.39;145.48;168.62;714.63;695.02;734.23;68.19;1798.78;304.64;711.67;1487.23;1455.51;1518.95;253.1;3062.91;492.88;1484.13;0.44;0.43;0.44;0.17;0.85;0.11;0.43
Polyommatus thersites;Polyommatus thersites (Cantener, 1834);Lycaenidae;351;10.59;10.28;10.9;1.7;18.17;2.99;10.53;18.06;17.81;18.31;9.98;23.91;2.39;17.84;791.04;764.95;817.12;363.79;1682.89;248.48;737.04;63.91;60.71;67.1;18.14;205.57;30.45;56.42;71.54;64.07;79.01;0.78;424.67;71.16;42.39;294.99;277.06;312.92;5.38;1013.21;170.78;264.27;940.39;907.35;973.43;135.88;1924.22;314.73;917.45;1854.51;1802.72;1906.31;460.19;3273.26;493.38;1842.28;0.42;0.41;0.43;0.17;0.84;0.12;0.41
Polyommatus violetae;Polyommatus violetae (Gomez-Bustillo & Borrego, 1979);Lycaenidae;3;13.6;9.86;17.34;12.31;15.25;1.5;13.23;17.28;14.79;19.76;16.24;18.24;1;17.35;503.37;376.67;630.07;454.73;556.44;51;498.94;47.21;26.2;68.23;41.35;56.91;8.46;43.38;135.5;-59.75;330.75;73.72;223.97;78.6;108.81;443.03;0.12;885.94;300.53;642.96;178.29;385.6;1168.57;529.57;1807.56;962.18;1456.74;257.23;1086.78;2291.59;1519.6;3063.57;2042.28;2639.76;310.77;2192.73;0.28;0.23;0.33;0.26;0.3;0.02;0.29
Pontia callidice;Pontia callidice (Hübner, 1800);Pieridae;60;6.09;5.19;7;0.85;13.43;3.51;5.5;16.35;16.07;16.64;14.44;21.36;1.1;16.14;1167.66;1110.58;1224.73;755.97;1637.5;220.93;1179.65;75.71;70.6;80.81;41.66;118.59;19.75;76.99;25.24;16.2;34.28;0.4;141.44;35;6.86;109.23;78.14;140.33;3.08;447.03;120.36;56.92;457.95;380.38;535.52;100.8;1159.46;300.28;374.36;1064.43;929.32;1199.55;372.71;2256.91;523.03;932.72;0.61;0.57;0.64;0.4;0.84;0.13;0.62
Pontia chloridice;Pontia chloridice (Hübner, 1813);Pieridae;11;10.62;8.17;13.08;2.37;14.07;3.66;12.24;20.43;18.81;22.05;17.3;26.69;2.42;20.07;646.94;592.99;700.9;491.01;784.86;80.32;647.35;51.07;40.03;62.12;30.81;81.27;16.44;47.36;59.71;33.57;85.85;10.49;138.08;38.91;52.88;284.1;187.86;380.34;25.89;461.01;143.25;341.36;995.02;789.88;1200.16;406.18;1287.44;305.35;1144.51;1970.22;1644.51;2295.94;1032.56;2403.34;484.83;2220.99;0.34;0.29;0.4;0.26;0.48;0.08;0.31
