species name (Kudrna et al. 2011);full species name (Kudrna et al. 2011);Family;range.size;temp.mean;temp.ci.95.low;temp.ci.95.up;temp.min;temp.max;temp.sd;temp.median;range.ann.temp.mean;range.ann.temp.ci.95.low;range.ann.temp.ci.95.up;range.ann.temp.min;range.ann.temp.max.;range.ann.temp.sd;range.ann.temp.median;precip.mean;precip.ci.95.low;precip.ci.95.up;precip.min;precip.max;precip.sd;precip.median;range.ann.precip.mean;range.ann.precip.ci.95.low;range.ann.precip.ci.95.up;range.ann.precip.min;range.ann.precip.max;range.ann.precip.sd;range.ann.precip.median;gdd.feb.mean;gdd.feb.ci.95.low;gdd.feb.ci.95.up;gdd.feb.min;gdd.feb.max;gdd.feb.sd;gdd.feb.median;gdd.apr.mean;gdd.apr.ci.95.low;gdd.apr.ci.95.up;gdd.apr.min;gdd.apr.max;gdd.apr.sd;gdd.apr.median;gdd.june.mean;gdd.june.ci.95.low;gdd.june.ci.95.up;gdd.june.min;gdd.june.max;gdd.june.sd;gdd.june.median;gdd.aug.mean;gdd.aug.ci.95.low;gdd.aug.ci.95.up;gdd.aug.min;gdd.aug.max;gdd.aug.sd;gdd.aug.median;swc.mean;swc.ci.95.low;swc.ci.95.up;swc.min;swc.max;swc.sd;swc.median
Aglais io;Aglais io (Linnaeus, 1758);Nymphalidae;1136;8.84;8.67;9.01;0.33;17.56;2.91;8.79;18.08;17.86;18.29;8.58;27.54;3.7;18.32;787.83;771.32;804.35;315.7;2794.09;283.68;707.07;57.65;56.01;59.29;16.83;223.21;28.17;51.73;50.47;47.41;53.54;0.4;358.6;52.67;31.5;213.46;205.1;221.82;3.08;869.44;143.63;192.32;771.52;755.11;787.92;100.8;1826.4;281.83;748.02;1570.61;1544.4;1596.82;372.71;3062.91;450.25;1527.83;0.44;0.43;0.44;0.15;0.84;0.12;0.43
Aglais urticae;Aglais urticae (Linnaeus, 1758);Nymphalidae;1271;8.12;7.94;8.3;-3.1;17.49;3.76;8.55;18.61;18.41;18.82;8.4;29.55;4.24;18.72;781.52;766.7;796.34;260.25;3042.73;306.73;684.44;57.76;56.41;59.12;15.82;242.55;28.06;51.52;48.31;45.64;50.98;0.07;425.86;55.31;27.81;198.55;191.13;205.97;0.3;1007.42;153.63;180.33;727.88;712.81;742.95;84.45;1880.67;311.95;724.93;1498.26;1473.78;1522.74;292.41;3148.39;506.82;1498.09;0.44;0.44;0.45;0.15;0.89;0.13;0.43
Anthocharis cardamines;Anthocharis cardamines (Linnaeus, 1758);Pieridae;1245;8.3;8.08;8.51;-3.72;17.84;3.88;8.63;18.52;18.29;18.74;8.58;29.55;4.03;18.58;778.77;762.14;795.4;315.7;3042.73;299.1;691.12;58.79;57.14;60.43;16.83;247.18;29.62;51.68;51.98;48.43;55.53;0.06;437.3;63.85;28.78;208.44;198.88;218.01;0.06;1033.83;172.03;185.09;745.66;726.97;764.36;67.27;1937.66;336.26;726.22;1525.06;1495.2;1554.92;253.1;3145.69;537.06;1499.96;0.44;0.44;0.45;0.15;0.85;0.12;0.44
Anthocharis damone;Anthocharis damone Boisduval, 1836;Pieridae;19;13.72;12.68;14.76;9.56;16.54;2.16;14.07;17.32;16.41;18.22;15.05;21.9;1.88;16.78;750.69;667.33;834.04;493.55;1174.23;172.94;752.33;93.82;75.58;112.06;26.81;183.66;37.84;84.38;141.8;99.49;184.11;19.39;295.31;87.78;138.45;452.84;368.24;537.44;157.76;730.84;175.53;461.01;1247.98;1123.01;1372.95;746.1;1606.57;259.27;1276.63;2346.69;2170.86;2522.53;1611.99;2831.63;364.81;2385.25;0.37;0.34;0.41;0.23;0.52;0.07;0.38
Anthocharis euphenoides;Anthocharis euphenoides Staudinger, 1869;Pieridae;131;12.94;12.4;13.48;1.7;18.41;3.13;13.16;16.43;16.15;16.71;11.27;19.5;1.62;16.39;722.26;680.9;763.62;372.21;1544;239.27;674.17;69.87;64.97;74.77;30.16;163.4;28.36;60.57;149.64;130.53;168.75;0.97;450.89;110.58;132.88;459.9;415.43;504.37;5.38;1087.91;257.26;433.25;1154.5;1082.26;1226.73;149.95;2042.82;417.92;1158.45;2195.69;2092.83;2298.54;460.19;3353.42;595.04;2193.73;0.37;0.36;0.39;0.22;0.79;0.1;0.36
Anthocharis gruneri;Anthocharis gruneri Herrich-Schäffer, 1851;Pieridae;36;12.64;11.93;13.34;8.77;16.17;2.08;12.52;18.66;18.12;19.19;16.01;21.9;1.58;18.69;652.67;604.78;700.55;475.8;1069.06;141.53;606.92;70.25;58.76;81.73;26.81;156.26;33.95;71.17;89.91;69.45;110.37;16.7;232;60.46;74.89;362.7;314.45;410.95;142.88;660.45;142.61;335.02;1139.57;1056.31;1222.84;730.9;1602.18;246.09;1103.69;2200.42;2079.23;2321.62;1611.99;2868.66;358.19;2165.98;0.32;0.3;0.34;0.23;0.48;0.05;0.32
Apatura ilia;Apatura ilia ([Schiffermüller], 1775);Nymphalidae;528;9.03;8.85;9.21;1.4;14.95;2.13;8.84;18.93;18.71;19.15;11.15;23.97;2.58;19.26;776.95;757.27;796.64;482.4;1782.31;230.28;712.17;57.94;55.81;60.08;16.83;223.21;25.02;54.19;41.24;37.79;44.68;0.97;286.48;40.3;27.85;220.24;211.04;229.44;6.26;740.08;107.63;198.43;815.24;797.27;833.21;135.88;1464.06;210.2;803.12;1641.72;1613.15;1670.29;450.03;2544.75;334.19;1620.68;0.42;0.42;0.43;0.22;0.81;0.11;0.42
Apatura iris;Apatura iris (Linnaeus, 1758);Nymphalidae;571;8.51;8.35;8.67;1.28;15.96;2;8.63;18.4;18.17;18.64;10.34;25.45;2.89;18.68;774.96;756.42;793.5;480.87;1782.31;225.6;715.34;54.58;52.7;56.45;16.83;205.57;22.78;51.68;37.83;35.19;40.46;0.4;249.52;32.06;27.72;191.14;183.7;198.58;3.08;660.75;90.48;187.42;744.5;728.81;760.18;100.8;1585.34;190.83;748.72;1527.4;1502.27;1552.53;408.98;2808.87;305.74;1531.48;0.43;0.43;0.44;0.22;0.84;0.11;0.43
Apatura metis;Apatura metis Freyer, 1829;Nymphalidae;47;11.13;10.61;11.64;6.3;15.96;1.77;11.26;21.21;20.66;21.75;16.73;24.35;1.86;21.11;653.38;608.38;698.38;436.85;1174.23;153.27;622.58;55.37;45.99;64.74;25.22;183.66;31.93;46.62;46.07;34.9;57.25;7.9;218.54;38.05;38.86;305.66;277.63;333.68;100.33;660.75;95.45;313.43;1072.5;1017.15;1127.86;536.89;1585.34;188.53;1090.85;2081.26;1993.75;2168.78;1202.33;2808.87;298.07;2127.61;0.32;0.29;0.34;0.21;0.53;0.08;0.29
Aphantopus hyperantus;Aphantopus hyperantus (Linnaeus, 1758);Nymphalidae;1002;7.9;7.73;8.07;-0.53;15.96;2.7;8.42;18.62;18.38;18.85;8.58;27.54;3.8;19.14;770.27;753.16;787.37;315.7;3042.73;275.96;686.43;53.02;51.62;54.41;16.83;242.55;22.49;49.77;36.32;34.36;38.27;0.14;291.74;31.56;26.75;171.6;165.04;178.16;0.45;705.12;105.84;173.03;695.13;680.34;709.91;98.52;1585.34;238.43;700.59;1447.61;1423.76;1471.46;332.55;2808.87;384.77;1449.25;0.44;0.43;0.45;0.15;0.84;0.12;0.43
Aporia crataegi;Aporia crataegi (Linnaeus, 1758);Pieridae;894;9.14;8.91;9.37;-1.94;17.84;3.53;9.18;18.45;18.24;18.66;10;28.31;3.15;18.16;765.33;750.25;780.42;315.7;1797.99;229.88;708.15;57.97;56.22;59.72;16.83;205.57;26.67;51.31;58.75;54.54;62.96;0.15;377.64;64.11;34.1;234.8;223.36;246.23;0.59;935.5;174.23;204.82;813.79;792.01;835.58;100.8;1927.8;331.9;775.12;1647.1;1612.79;1681.41;372.71;3180.51;522.67;1575.86;0.43;0.42;0.43;0.15;0.84;0.11;0.43
Araschnia levana;Araschnia levana (Linnaeus, 1758);Nymphalidae;626;8.62;8.46;8.77;1.4;14.05;1.97;8.66;18.89;18.68;19.11;12.05;26.69;2.71;19.13;739.43;723.18;755.67;424.76;1782.31;207;684.83;51.74;50.28;53.2;16.83;118.59;18.63;50.01;37.15;34.85;39.45;0.78;189.42;29.27;28.47;197.8;190.76;204.85;6.26;541.93;89.76;190.46;771.83;756.51;787.15;135.88;1330.53;195.18;770.13;1572.11;1547.63;1596.59;450.03;2461.66;311.89;1565.63;0.42;0.41;0.43;0.21;0.84;0.11;0.41
Archon apollinus;Archon apollinus (Herbst, 1798);Papilionidae;13;14.89;13.9;15.88;12.35;18.17;1.64;14.89;17.77;16.92;18.61;15.97;20.14;1.4;17.37;650.12;611.31;688.93;577.07;784.86;64.22;627.9;93.83;74.9;112.77;56.55;152.24;31.33;87.97;170.98;122.42;219.53;64;343.48;80.35;162.94;553.53;458.21;648.85;341.36;888.83;157.73;536.93;1446.56;1311.58;1581.55;1144.51;1924.22;223.37;1430.98;2625.46;2445.57;2805.35;2220.99;3273.26;297.69;2598.43;0.35;0.33;0.37;0.31;0.44;0.03;0.35
Arethusana arethusa;Arethusana arethusa ([Schiffermüller], 1775);Nymphalidae;229;10.63;10.34;10.92;1.28;15.96;2.22;10.8;17.94;17.6;18.28;10.72;23.91;2.61;17.71;797.28;765.75;828.8;424.75;1762.13;242.11;748.69;58.8;54.5;63.1;16.83;223.21;33.02;50.55;66.41;59.69;73.12;0.4;291.74;51.56;50.31;288.47;272.17;304.76;3.08;705.12;125.16;286.33;930.54;899.37;961.72;100.8;1585.34;239.43;943.77;1843.16;1794.66;1891.66;408.98;2808.87;372.49;1881.46;0.4;0.39;0.42;0.21;0.74;0.11;0.41
Argynnis adippe;Argynnis adippe ([Schiffermüller], 1775);Nymphalidae;888;8.37;8.16;8.57;-0.1;16.62;3.1;8.48;18.68;18.48;18.89;9.5;27.54;3.16;18.77;772.92;756.44;789.4;427.56;2507.04;250.2;694.2;57.36;55.62;59.1;16.83;223.21;26.4;52.03;44.15;40.91;47.38;0.4;424.67;49.09;26.17;193.05;183.76;202.33;1.65;983.39;140.94;177.74;737.77;719.41;756.13;100.8;1768.21;278.71;722.82;1526.19;1496.89;1555.48;372.71;2831.63;444.8;1497.45;0.43;0.42;0.44;0.22;0.84;0.11;0.43
Argynnis aglaja;Argynnis aglaja (Linnaeus, 1758);Nymphalidae;1132;7.79;7.58;7.99;-3.1;16.84;3.5;8.3;18.37;18.14;18.6;8.58;29.55;3.95;18.53;814.41;794.3;834.52;424.23;3042.73;344.77;705.14;59.28;57.49;61.07;16.83;247.18;30.75;52.12;40.84;38.36;43.31;0.07;318.55;42.41;26;175.53;167.81;183.24;0.11;776.02;132.29;167.58;682.91;665.95;699.88;68.19;1671.66;290.87;688.63;1427.01;1398.98;1455.04;253.1;2893.17;480.61;1430.26;0.46;0.45;0.46;0.21;0.89;0.13;0.44
Argynnis elisa;Argynnis elisa Godart, 1823;Nymphalidae;8;13.92;12.84;15;12.27;16.16;1.3;13.88;14.79;14.16;15.43;14.12;16.46;0.76;14.52;735.15;680.43;789.86;658.44;817.49;65.44;735.05;92.15;84.66;99.64;83.18;111.19;8.96;90.48;183.48;137.46;229.5;125.31;278.85;55.05;178.25;492.56;388.24;596.88;353.21;709.13;124.78;479.05;1198.6;1026.43;1370.76;951.36;1556.65;205.93;1173.49;2253.92;2009.51;2498.33;1888.21;2761.84;292.35;2246.38;0.41;0.39;0.42;0.38;0.44;0.02;0.4
Argynnis laodice;Argynnis laodice (Pallas, 1771);Nymphalidae;100;7.06;6.71;7.4;2.37;11.61;1.74;7.04;21.44;21.11;21.77;16.7;26.69;1.65;21.57;637.08;623.54;650.62;424.76;878.51;68.26;639.68;52.36;50.01;54.71;28.7;91.38;11.84;51.07;21.22;19.79;22.66;4.74;46.91;7.22;19.68;136.35;122.38;150.31;25.89;337.54;70.37;131.83;686.11;652.31;719.91;406.18;1148.66;170.34;666.44;1453.3;1402.29;1504.31;966.99;2173.85;257.06;1405.96;0.39;0.38;0.41;0.22;0.57;0.06;0.41
Argynnis niobe;Argynnis niobe (Linnaeus, 1758);Nymphalidae;646;8.5;8.27;8.74;-0.97;16.54;3.04;8.64;18.75;18.54;18.96;11.15;26.8;2.75;18.62;782.2;763.69;800.71;424.76;1782.31;239.56;714.65;58.57;56.58;60.56;18.14;205.57;25.78;53.15;42.45;38.95;45.95;0.07;295.31;45.28;26.19;195.56;185.13;205.98;0.3;772.73;134.95;180.77;749.41;727.89;770.93;91.28;1606.57;278.52;742.87;1548.36;1513.5;1583.22;334.48;2831.63;451.2;1523.42;0.43;0.43;0.44;0.21;0.84;0.12;0.43
Argynnis pandora;Argynnis pandora ([Schiffermüller], 1775);Nymphalidae;320;11.92;11.59;12.26;1.7;18.04;3.06;11.98;18.2;17.88;18.52;9.98;24.35;2.91;17.95;729.94;704.04;755.83;315.7;1682.89;235.43;660.54;72.61;68.78;76.43;20.76;205.57;34.78;63.62;103.55;93.03;114.07;0.78;448.51;95.66;63.88;381.24;358.59;403.9;7.36;1064.24;205.99;334.53;1097.7;1060.82;1134.59;149.95;1967.07;335.38;1106.73;2098.06;2043.04;2153.07;460.19;3178.57;500.24;2134.12;0.38;0.36;0.39;0.15;0.79;0.11;0.35
Argynnis paphia;Argynnis paphia (Linnaeus, 1758);Nymphalidae;1024;9.02;8.84;9.2;0.85;17.04;2.91;8.87;18.13;17.92;18.33;8.58;27.17;3.36;18.32;777.2;761.92;792.48;424.75;2507.04;249.17;704.15;57.91;56.29;59.53;16.83;205.57;26.42;52.4;52.31;48.96;55.67;0.4;377.64;54.72;31.27;219.91;210.95;228.87;2.25;935.5;146.07;195.48;788.3;771.01;805.6;100.8;1800.75;281.96;756;1601.15;1573.63;1628.67;372.71;2973.4;448.78;1550.69;0.43;0.42;0.44;0.22;0.84;0.12;0.42
Aricia agestis;Aricia agestis ([Schiffermüller], 1775);Lycaenidae;700;10.16;9.94;10.37;0.85;18.64;2.89;9.72;17.75;17.53;17.97;10;24.37;2.99;17.64;773.49;755.56;791.42;315.7;2507.04;241.58;724.05;61.05;58.82;63.27;16.83;196.8;30.01;54.91;68.09;62.85;73.34;0.4;439.37;70.65;40.62;275.38;263.06;287.7;3.08;1017.69;166;228.85;900.35;877.33;923.38;100.8;1995.85;310.26;824.53;1772.48;1736.23;1808.74;372.71;3293.9;488.55;1656.55;0.42;0.41;0.43;0.15;0.84;0.11;0.41
Aricia anteros;Aricia anteros (Freyer, 1838);Lycaenidae;43;11.83;11.23;12.43;6.79;15.96;1.93;11.95;19.32;18.78;19.86;16.01;23.02;1.74;19.25;686.74;635.85;737.64;424.76;1181.84;165.38;656.17;65.51;55.1;75.92;29.16;162.53;33.83;54.39;66.33;51.88;80.79;6.65;218.54;46.97;52.88;312.76;276.33;349.18;86.45;660.75;118.36;295.04;1059.69;992.66;1126.71;536.38;1585.34;217.79;1055.74;2081.34;1980.48;2182.2;1228.22;2808.87;327.73;2074.1;0.32;0.3;0.34;0.21;0.5;0.06;0.31
Aricia artaxerxes;Aricia artaxerxes (Fabricius, 1793);Lycaenidae;435;6.45;6.06;6.84;-3.1;16.41;4.12;6.11;19.4;19.03;19.76;10.59;29.55;3.89;19.25;802.07;771.06;833.07;424.75;3039.21;329;680.78;60.03;57.14;62.92;24.27;236.72;30.66;50.41;35.48;30.89;40.08;0.07;350.51;48.75;19.39;133.89;119.45;148.32;0.11;878.9;153.17;70.54;584.87;554.37;615.37;68.19;1704.42;323.65;495.59;1283.43;1232.74;1334.11;253.1;2838.49;537.87;1169.54;0.47;0.45;0.48;0.24;0.85;0.13;0.45
Aricia cramera;Aricia cramera (Eschscholtz, 1821);Lycaenidae;138;14.28;13.82;14.73;4.49;18.41;2.71;14.82;15.52;15.15;15.89;9.98;19.38;2.22;15.73;697;653.15;740.85;339.32;1762.13;260.51;615.13;86.28;79.72;92.83;34.1;223.21;38.94;80.12;210.99;191.23;230.75;4.32;448.51;117.38;208.86;591.74;548.11;635.38;15.31;1087.91;259.2;628.65;1337.76;1270.69;1404.83;206.38;2042.82;398.46;1421.91;2429.51;2338.71;2520.3;710.79;3353.42;539.37;2590.84;0.36;0.34;0.38;0.21;0.63;0.1;0.33
Aricia eumedon;Aricia eumedon (Esper, 1780);Lycaenidae;441;5.98;5.63;6.34;-2.2;17.91;3.83;5.94;20.34;20.03;20.65;12.34;29.55;3.32;19.89;763.74;740.67;786.8;454.01;1826.89;246.45;666.74;58.09;56.04;60.14;24.27;166.22;21.86;52.52;27.51;23.41;31.6;0.07;448.51;43.71;17.44;121.2;108.66;133.73;0.11;1064.24;133.91;82.02;573.7;545.93;601.48;68.19;1967.07;296.77;519.78;1262.31;1216.41;1308.2;253.1;3159.29;490.36;1216.17;0.47;0.46;0.48;0.24;0.84;0.12;0.45
Aricia montensis;Aricia montensis Verity, 1928;Lycaenidae;32;12.12;11.15;13.09;4.49;16.41;2.69;12.29;15.97;15.16;16.78;11.35;19.17;2.25;16.53;800.64;689.78;911.51;424.75;1564.51;307.51;699.3;76.15;59.47;92.83;35.83;205.57;46.26;58.24;124.56;92.38;156.73;4.32;350.51;89.23;97.84;394.01;316.99;471.04;15.31;878.9;213.64;362.16;1021.42;894.56;1148.28;206.38;1704.42;351.86;1022.49;1997.9;1818.47;2177.33;710.79;2838.49;497.68;2013.72;0.39;0.35;0.43;0.24;0.61;0.12;0.34
Aricia morronensis;Aricia morronensis Ribbe, 1910;Lycaenidae;15;11;9.85;12.16;5.83;14.5;2.09;11.53;16.18;15.2;17.15;13.37;18.34;1.76;16.22;818.83;676.9;960.77;483.59;1216.7;256.3;755.97;59.09;50.12;68.07;39.82;102.68;16.22;59.22;81.87;58.17;105.56;11.66;152.54;42.78;73.72;286.81;219.97;353.65;49.86;503.86;120.7;269.54;848.18;713.96;982.4;320.86;1303.69;242.37;871.78;1764.53;1548.69;1980.37;919.5;2506.4;389.76;1905.77;0.39;0.33;0.46;0.27;0.58;0.11;0.43
Aricia nicias;Aricia nicias (Meigen, 1829);Lycaenidae;78;4.14;3.45;4.82;-0.02;13.7;3.04;3.33;21.4;20.42;22.38;14.44;27.54;4.35;22.48;786.58;722.71;850.45;520.58;1544;283.28;633.68;54.74;51.46;58.03;32.49;107.06;14.58;52.41;18.61;12.7;24.53;0.78;148.36;26.23;12.34;60.85;40;81.69;5.38;499.63;92.45;31.71;421.65;375.52;467.77;111.96;1252.89;204.58;408.9;1031.69;951.21;1112.17;372.71;2346.08;356.96;1027.27;0.49;0.47;0.51;0.32;0.81;0.1;0.46
Boloria aquilonaris;Boloria aquilonaris (Stichel, 1908);Nymphalidae;478;4.17;3.86;4.49;-3.72;10.84;3.54;4.24;20.72;20.36;21.08;12.57;29.55;3.99;20.19;741.72;717.33;766.1;418.38;2379.79;271.33;646.63;52.38;50.31;54.45;19.4;202.28;23.07;47.39;18.01;16.63;19.39;0.06;85.8;15.4;14.45;68.6;62.46;74.74;0.06;308.27;68.32;38.73;435.95;417.77;454.14;67.27;974.45;202.33;436.9;1025.35;993.24;1057.46;253.1;1899.15;357.26;1066.43;0.49;0.48;0.5;0.28;0.85;0.12;0.46
Boloria chariclea;Boloria chariclea (Schneider, 1794);Nymphalidae;22;-2.02;-2.42;-1.61;-3.23;0.27;0.91;-2.2;25.38;23.91;26.85;18.72;29.55;3.32;26.18;518.89;476.74;561.03;418.38;762.25;95.06;487;41.79;37.68;45.89;24.47;63.12;9.26;41.88;7.03;4.26;9.79;2.11;29.52;6.24;4.76;11.4;7.47;15.34;3.65;43.3;8.88;9.44;156.72;139.52;173.93;84.53;221.65;38.8;152.28;512.29;468.83;555.74;326.27;662.54;98;496.31;0.59;0.56;0.61;0.53;0.76;0.05;0.57
Boloria dia;Boloria dia (Linnaeus, 1767);Nymphalidae;554;9.28;9.08;9.48;1.23;15.96;2.39;9.15;18.79;18.58;19.01;9.95;23.91;2.57;19.01;784.27;764.74;803.8;424.76;1782.31;234.05;725.87;57.15;55.36;58.94;16.83;162.53;21.43;54.19;44.36;40.96;47.77;0.4;273.45;40.82;29.92;230.05;220.57;239.54;3.08;697.55;113.71;208.16;832.35;812.41;852.29;100.8;1585.34;238.9;808.63;1673.79;1641.41;1706.17;377.09;2808.87;388;1634.78;0.43;0.42;0.43;0.21;0.84;0.12;0.42
Boloria eunomia;Boloria eunomia (Esper, 1799);Nymphalidae;311;3.45;3.06;3.84;-3.1;13.7;3.53;3.29;22.22;21.81;22.64;14.12;29.55;3.73;22.17;691;667.74;714.26;418.38;1661.62;208.45;623.45;51.41;49.59;53.22;24.47;118.59;16.26;48.08;16.16;14.08;18.24;0.06;158.66;18.68;12.09;62;53.28;70.73;0.06;499.63;78.22;30.34;421.13;397.49;444.76;67.27;1252.89;211.83;393.76;1004.78;963.7;1045.86;278.53;2346.08;368.14;989.29;0.5;0.49;0.51;0.28;0.84;0.11;0.47
Boloria euphrosyne;Boloria euphrosyne (Linnaeus, 1758);Nymphalidae;963;6.95;6.7;7.2;-3.23;16.54;3.98;7.74;19.08;18.83;19.34;9.17;29.55;4.05;19.08;809.66;787.87;831.45;418.38;3042.73;344.56;705.07;59.42;57.48;61.37;16.83;247.18;30.74;52.32;35.34;32.79;37.9;0.07;295.31;40.41;21.37;155.39;147.11;163.68;0.11;730.84;131.01;141.01;634.31;615.26;653.35;68.19;1606.57;301.18;643.51;1346.32;1314.7;1377.93;253.1;2831.63;500;1364.41;0.47;0.46;0.48;0.22;0.89;0.13;0.45
Boloria freija;Boloria freija (Becklin, 1791);Nymphalidae;144;1.33;0.93;1.74;-3.23;5.94;2.45;1.9;24.33;23.86;24.81;17.28;29.55;2.86;24.56;597.49;581.67;613.31;418.38;1094.37;96.03;602.91;47.26;46.05;48.48;25.45;69.31;7.37;47.22;9.68;8.72;10.64;0.07;29.52;5.85;9.67;23.68;20.86;26.5;0.3;82.24;17.11;23.9;316.67;295.44;337.91;84.45;570.54;128.93;343.9;829.38;786.33;872.44;292.41;1276.41;261.37;904.44;0.51;0.49;0.52;0.35;0.79;0.08;0.48
Boloria frigga;Boloria frigga (Becklin, 1791);Nymphalidae;145;1.57;1.17;1.96;-3.1;5.88;2.39;2.06;24.35;23.92;24.79;18.54;29.55;2.66;24.36;603.13;588.08;618.18;418.38;1055.57;91.68;605.99;47.77;46.52;49.02;24.47;69.9;7.63;47.71;10.09;9.1;11.07;0.07;29.52;5.98;9.94;24.86;21.96;27.76;0.3;89.01;17.66;24.38;327.3;306.93;347.68;97.42;595.85;124.14;348.64;852.95;812.24;893.67;351.82;1301.59;248.04;907.43;0.5;0.49;0.51;0.38;0.72;0.07;0.48
Boloria graeca;Boloria graeca (Staudinger, 1870);Nymphalidae;37;9.99;9.08;10.91;3.25;15.96;2.75;10.54;18.01;17.42;18.61;15.22;21.09;1.78;17.62;866.77;795.3;938.24;482.4;1330.25;214.36;880.47;65.87;55.34;76.4;29.63;162.53;31.58;58.07;48.08;34.06;62.09;0.97;218.54;42.03;37.07;226.06;181.86;270.26;5.38;660.75;132.58;214.59;821.71;719.64;923.77;166.78;1585.34;306.13;866.91;1705.7;1543.52;1867.89;599.03;2808.87;486.43;1787.66;0.39;0.36;0.43;0.25;0.62;0.09;0.42
Boloria improba;Boloria improba (Butler, 1877);Nymphalidae;6;-2.7;-3.25;-2.15;-3.23;-1.82;0.52;-2.85;23.15;20.79;25.5;20.21;26.46;2.25;22.84;571.55;447.2;695.89;471.88;762.25;118.48;529.88;44.76;36.76;52.75;31.58;51.52;7.62;46.89;5.31;0.8;9.83;2.75;14;4.31;3.64;7.59;1.29;13.89;3.83;19.67;6;5.37;103.49;87.63;119.34;84.53;130.42;15.11;101.3;371.66;327.12;416.21;326.27;451.77;42.45;364.98;0.64;0.56;0.71;0.56;0.76;0.07;0.62
Boloria napaea;Boloria napaea (Hoffmannsegg, 1804);Nymphalidae;112;2.37;1.61;3.14;-3.72;13.7;4.09;1.48;18.79;18.15;19.44;14.36;28.56;3.45;17.54;954.65;892.81;1016.5;446.45;1719.58;330.29;904.76;66.78;62.33;71.24;24.47;148.34;23.81;58.93;13.29;8.3;18.27;0.06;148.36;26.62;3.51;51.35;33.55;69.15;0.06;499.63;95.07;10.88;284.48;237.35;331.62;67.27;1252.89;251.72;176.33;725.59;639.61;811.58;253.1;2346.08;459.21;550.75;0.64;0.61;0.66;0.32;0.85;0.12;0.64
Boloria pales;Boloria pales ([Schiffermüller], 1775);Nymphalidae;101;7.04;6.4;7.68;0.85;13.7;3.26;7.08;17.32;16.97;17.68;13.84;22.85;1.8;17.02;1098.88;1047.02;1150.75;530.2;1782.31;262.71;1066.09;74.28;70.05;78.5;30.84;118.59;21.39;76.64;26.72;19.84;33.59;0.4;158.66;34.83;13.21;135.13;111.82;158.45;3.08;499.63;118.12;100.49;561.51;503.09;619.93;100.8;1252.89;295.93;536.21;1243.11;1142.73;1343.48;372.71;2346.08;508.44;1202.33;0.57;0.54;0.6;0.26;0.84;0.14;0.57
Boloria polaris;Boloria polaris (Boisduval, 1829);Nymphalidae;18;-2.06;-2.49;-1.64;-3.23;0.27;0.85;-2.21;25.56;23.97;27.16;18.94;29.34;3.2;26.77;500.08;465.17;534.99;418.38;697.77;70.2;481.28;40.58;36.52;44.65;24.47;54.01;8.17;41.41;5.86;3.95;7.78;2.51;16.42;3.85;4.23;9.89;7.18;12.6;4.6;24.03;5.45;8.21;156.22;136.31;176.13;97.42;213.04;40.04;156.72;512.66;461.71;563.6;351.82;660;102.45;523.2;0.58;0.56;0.59;0.53;0.66;0.04;0.57
Boloria selene;Boloria selene ([Schiffermüller], 1775);Nymphalidae;998;6.93;6.7;7.16;-3.1;15.91;3.65;7.82;19.01;18.76;19.27;9.15;29.55;4.09;19.25;793.83;772.94;814.73;418.38;3042.73;336.42;686.74;57.49;55.62;59.37;16.83;247.18;30.21;50.63;33.58;31.33;35.83;0.06;286.48;36.24;22.39;152.5;145.06;159.94;0.06;740.08;119.76;146.51;631.73;614.47;649;67.27;1576.57;278.01;656.77;1337.84;1309.33;1366.36;253.1;2824.22;459.06;1388.4;0.46;0.46;0.47;0.21;0.85;0.13;0.44
Boloria thore;Boloria thore (Hübner, 1806);Nymphalidae;79;2.47;1.65;3.3;-3.72;9.36;3.69;2.64;20.01;19.09;20.94;14.44;29.34;4.13;18.6;982.26;900.48;1064.05;446.45;1782.31;365.13;1029.25;74;68.73;79.27;27.46;118.59;23.53;76.47;7.99;6.24;9.74;0.41;39.84;7.81;4.95;46.13;33.73;58.53;0.72;222.09;55.37;22.52;311.34;266.17;356.51;84.45;813.41;201.66;237.02;783.17;699.72;866.61;292.41;1660.46;372.55;647.36;0.65;0.63;0.68;0.42;0.84;0.11;0.67
Boloria titania;Boloria titania (Esper, 1793);Nymphalidae;141;6.75;6.29;7.21;0.85;14.05;2.79;6.79;18.47;18.06;18.88;14.44;26.69;2.48;18.03;1000.81;954.6;1047.02;558.4;1782.31;277.55;993.75;67.39;63.65;71.14;30.84;118.59;22.5;63.48;24.35;19.67;29.04;0.4;158.66;28.14;18.55;120.5;103.82;137.18;3.08;523.94;100.19;90.41;563.78;523.31;604.26;100.8;1330.53;243.11;547.76;1254.1;1185;1323.2;372.71;2461.66;415.04;1253.73;0.54;0.52;0.56;0.3;0.84;0.13;0.49
Borbo borbonica;Borbo borbonica (Boisduval, 1833);Hesperiidae;1;17.41;NA;NA;17.41;17.41;NA;17.41;11.27;NA;NA;11.27;11.27;NA;11.27;699.64;NA;NA;699.64;699.64;NA;699.64;123.1;NA;NA;123.1;123.1;NA;123.1;450.89;NA;NA;450.89;450.89;NA;450.89;1034.3;NA;NA;1034.3;1034.3;NA;1034.3;1888.31;NA;NA;1888.31;1888.31;NA;1888.31;3025.95;NA;NA;3025.95;3025.95;NA;3025.95;0.36;NA;NA;0.36;0.36;NA;0.36
