species,cluster,Family,N,range_N,urban_score_mean,urban_score_25,urban_score_75,overwintering_stage,flight_months_average,wing_index,hostplant_specificity,hostplant_index,egg_laying_type,egg_laying_location,adult_food_types,hostplant_growth_form,voltinism_mean,temp_mean,hostplant_growth_Sh,hostplant_growth_Th,hostplant_growth_Sb,hostplant_growth_Tr,overwintering_stage_E,overwintering_stage_L,overwintering_stage_P,overwintering_stage_A,overwintering_stage_ordinal
Lampides boeticus,1,Lycaenidae,1614,354007,3.2307671290708826,-0.025035090744495392,1.954014241695404,ELP,9,-0.03,3,0.058,Se,2,1,3,3,12.82,1,1,1,0,1,1,1,0,2.5
Lasiommata maera,3,Nymphalidae,5035,617067,-1.4405515836324572,-0.010623887181282043,-0.53599414229393,L,6,0.027,4,0.072,Sb,2,1,2,1.5,8.56,1,1,0,0,0,1,0,0,2
Lasiommata megera,2,Nymphalidae,13968,752018,-0.7033645878913033,-0.0017246603965759277,-0.15096807479858398,L,6.5,0.013,3,0.12,Sb,1,2,2,2,10.39,1,1,0,0,0,1,0,0,2
Lasiommata petropolitana,3,Nymphalidae,2141,532651,-1.6013297866821594,-0.038440972566604614,-0.6749796867370605,LP,3.5,0.001,3,0.258,Se,1,2,2,1.5,5.07,1,1,0,0,0,1,1,0,3
Leptidea sinapis,3,Pieridae,3662,809804,-1.6073169205865327,-0.03068857640028,-0.9020842164754868,P,6,-0.003,3,0.144,Se,2,3,2,2,9.11,1,1,0,0,0,0,1,0,3.5
Leptotes pirithous,1,Lycaenidae,1459,96495,3.11031300487356,0.06463664770126343,2.822742462158203,LP,8,-0.053,4,0.045,Se,2,2,3,3,12.82,1,1,1,0,0,1,1,0,3
Libythea celtis,3,Nymphalidae,579,50444,-1.6559208218742283,-0.007026538252830505,-0.733718991279602,A,6.5,0.006,1,0.707,Se,1,2,1,1.25,12.19,0,0,0,1,0,0,0,1,4.5
Limenitis camilla,3,Nymphalidae,2085,203642,-0.8408503045363632,-0.02660885453224182,-0.24904733896255493,L,3,0.064,3,0.289,Se,1,7,2,1,8.85,0,0,1,0,0,1,0,0,2
Limenitis populi,3,Nymphalidae,3037,542259,-0.9443827275103864,-0.00891655683517456,-0.3667682409286499,L,2.5,0.115,1,0.577,Se,1,3,1,1,7.48,0,0,0,1,0,1,0,0,2
Limenitis reducta,2,Nymphalidae,351,93594,-0.9696244532378766,0.04443487524986267,-0.2957553565502167,L,5,0.037,2,0.577,Se,1,6,2,2,11.07,0,0,1,0,0,1,0,0,2
Lopinga achine,3,Nymphalidae,1219,6027,-0.573543425584865,-0.010854512453079224,-0.06230801343917847,L,2.5,0.026,2,0.086,Se,1,4,2,1,8.2,1,1,0,0,0,1,0,0,2
Lycaena alciphron,3,Lycaenidae,872,119986,-1.0463604190807425,-0.02414722740650177,-0.3002339005470276,L,4,-0.018,2,0.577,Se,2,1,1,1,9.53,1,0,0,0,0,1,0,0,2
Lycaena helle,3,Lycaenidae,1311,561982,-0.8396990608693167,0.012589290738105774,-0.6226034164428711,P,6,-0.052,3,0.289,Se,2,2,1,1.25,4.89,1,0,0,0,0,0,1,0,3.5
Lycaena hippothoe,2,Lycaenidae,3496,604268,-1.1226652696675843,0.0131644606590271,-0.3941400945186615,EL,4.5,-0.027,3,0.289,Se,2,1,2,1,6.45,1,1,0,0,1,1,0,0,1.5
Lycaena phlaeas,2,Lycaenidae,22724,953295,0.2492644180539969,0.025696009397506714,0.6433213353157043,L,9.5,-0.048,2,0.333,Se,1,4,2,2,9.29,1,1,0,0,0,1,0,0,2
Lycaena tityrus,3,Lycaenidae,528,156984,-0.37853367572142793,0.001533597707748413,-0.2048078179359436,L,7,-0.036,4,0.136,Se,2,1,3,2,9.35,1,1,1,0,0,1,0,0,2
Lycaena virgaureae,3,Lycaenidae,7942,626095,-1.3109231207546417,0.014902062714099884,-0.5224745571613312,L,5,-0.035,2,0.408,Se,2,1,2,1,7.27,1,1,0,0,0,1,0,0,2
Lysandra coridon,3,Lycaenidae,3099,126711,-0.39095653639885675,-1.4069676399230957e-4,-0.1182992160320282,E,3,-0.026,3,1,Se,2,4,2,1.5,9.31,1,1,0,0,1,0,0,0,1
Maniola jurtina,2,Nymphalidae,34175,887914,-0.3866617379382631,0.018096402287483215,-0.021397173404693604,L,5,0.022,3,0.289,Sb,2,2,2,1,9.85,1,1,0,0,0,1,0,0,2
Melanargia galathea,2,Nymphalidae,8054,165894,-0.45378458646546393,0.016487225890159607,0.030966565012931824,L,3.5,0.031,3,0.107,Sb,3,1,2,1,9.71,1,1,0,0,0,1,0,0,2
Melanargia lachesis,2,Nymphalidae,878,39823,-0.953182074695432,0.0046309977769851685,1.1505930423736572,L,2.5,0.041,3,0.136,Se,2,1,1,1,13.09,1,0,0,0,0,1,0,0,2
Melanargia larissa,3,Nymphalidae,328,11353,-0.6352747331870252,0.0182645283639431,-0.22766292095184326,L,4,0.052,2,0.707,Se,1,1,1,1,12.95,1,0,0,0,0,1,0,0,2
Melanargia occitanica,2,Nymphalidae,389,34401,-0.7108565880909379,0.14546072483062744,0.2085353136062622,L,2.5,0.039,3,0.154,Se,2,1,2,1,13.79,1,1,0,0,0,1,0,0,2
Melitaea athalia,3,Nymphalidae,10153,699032,-1.7601766556014935,-0.02974379062652588,-0.868476927280426,L,3.5,-0.004,4,0.107,Lb,1,2,2,1.25,8.27,1,1,0,0,0,1,0,0,2
Melitaea cinxia,3,Nymphalidae,2370,471153,-1.9335883073138032,-0.02788315713405609,-0.8224794864654541,L,4,-0.003,3,0.289,Lb,1,1,1,1.5,9.6,1,0,0,0,0,1,0,0,2
Melitaea deione,2,Nymphalidae,494,60526,-2.008870044424844,0.028042197227478027,0.35518378019332886,L,4.5,-0.004,4,0.12,Lb,2,2,2,1.5,11.58,1,0,1,0,0,1,0,0,2
Melitaea diamina,3,Nymphalidae,1780,530271,-2.2141880624433337,-0.039018601179122925,-1.231208860874176,L,3.5,-0.012,4,0.126,Lb,2,3,2,1.5,8.03,1,1,0,0,0,1,0,0,2
Melitaea didyma,2,Nymphalidae,439,100304,-1.021949489003183,0.033998697996139526,0.11240899562835693,L,5.5,-0.005,4,0.051,Lb,2,1,2,2,10.42,1,1,0,0,0,1,0,0,2
Melitaea phoebe,2,Nymphalidae,487,89336,-0.9322867716508105,0.04993940889835358,-0.06550353765487671,L,4.5,0.013,4,0.154,Lb,2,2,2,1.5,10.91,1,1,0,0,0,1,0,0,2
Melitaea trivia,2,Nymphalidae,501,53310,-1.2077661760779408,0.016467928886413574,-0.3139786720275879,L,5,-0.017,2,0.447,Lb,1,2,2,2,10.97,1,1,0,0,0,1,0,0,2
Minois dryas,2,Nymphalidae,860,70521,-0.19256758767044213,0.032803237438201904,0.18857751786708832,L,3,0.066,3,0.2,Sb,2,2,2,1,9.52,1,1,0,0,0,1,0,0,2
Muschampia proto,2,Hesperiidae,287,40292,-3.8434980716843468,0.01980602741241455,-0.590157151222229,E,4,-0.033,2,0.577,Se,3,2,3,1,14.16,1,1,1,0,1,0,0,0,1
