species,cluster,Family,N,range_N,urban_score_mean,urban_score_25,urban_score_75,overwintering_stage,flight_months_average,wing_index,hostplant_specificity,hostplant_index,egg_laying_type,egg_laying_location,adult_food_types,hostplant_growth_form,voltinism_mean,temp_mean,hostplant_growth_Sh,hostplant_growth_Th,hostplant_growth_Sb,hostplant_growth_Tr,overwintering_stage_E,overwintering_stage_L,overwintering_stage_P,overwintering_stage_A,overwintering_stage_ordinal
Pyrgus carthami,3,Hesperiidae,352,91680,-0.447505430538221,-0.0485786534845829,0.1510331928730011,L,5,-0.031,4,0.218,Sb,1,2,2,1,9.18,1,1,0,0,0,1,0,0,2
Pyrgus malvae,3,Hesperiidae,4351,637032,-1.4530671532582247,-0.019041016697883606,-0.7327892780303955,P,5,-0.058,3,0.192,Se,1,2,1,1.5,8.74,1,0,0,0,0,0,1,0,3.5
Pyronia bathseba,2,Nymphalidae,1314,46100,-3.4635147522463816,0.013443320989608765,-0.17066049575805664,L,4.5,-0.002,1,0.354,Se,3,1,2,1,13.54,1,1,0,0,0,1,0,0,2
Pyronia cecilia,2,Nymphalidae,1073,56146,1.326820919643712,0.0800790786743164,1.1701363921165466,L,3.5,-0.024,3,0.177,Se,2,2,2,1,14.06,1,1,0,0,0,1,0,0,2
Pyronia tithonus,3,Nymphalidae,3960,310658,-1.2929724349944716,-0.028654150664806366,-0.21943125128746033,L,3.5,-0.007,3,0.081,Se,1,2,2,1,10.86,1,1,0,0,0,1,0,0,2
Satyrium esculi,2,Lycaenidae,591,49151,-3.1885143374929137,3.9523839950561523e-4,-0.2953883409500122,E,4,-0.029,2,0.707,Se,2,1,2,1,13.33,0,0,1,1,1,0,0,0,1
Satyrium ilicis,3,Lycaenidae,836,224338,-1.188768564934223,-0.0307597815990448,-0.6183876991271973,E,4,-0.025,4,0.112,Se,2,1,2,1,10.21,0,0,1,1,1,0,0,0,1
Satyrium pruni,2,Lycaenidae,724,184754,-1.0882853706161573,0.0018084347248077393,-0.3646523207426071,E,3,-0.033,2,0.134,Se,1,4,2,1,8.31,0,0,1,1,1,0,0,0,1
Satyrium w-album,1,Lycaenidae,2061,587738,4.290731528693568,0.1583302915096283,5.150668263435364,E,3,-0.029,4,0.065,Se,2,3,2,1,8.87,0,0,1,1,1,0,0,0,1
Satyrus ferula,3,Nymphalidae,829,53380,-0.7134325276645295,0.007957816123962402,-0.13394695520401,L,4,0.051,1,0.5,Sb,1,3,1,1,10.54,1,0,0,0,0,1,0,0,2
Scolitantides orion,3,Lycaenidae,637,278922,-1.6616591370630236,0.02063685655593872,-0.7516324520111084,P,5,-0.039,2,0.333,Se,1,1,1,1.5,8.98,1,0,0,0,0,0,1,0,3.5
Speyeria aglaja,3,Nymphalidae,1566,740697,-1.6546038250939326,-0.028697393834590912,-1.0708520412445068,EL,3.5,0.057,2,0.5,Se,2,3,1,1,7.79,1,0,0,0,1,1,0,0,1.5
Spialia sertorius,3,Hesperiidae,304,106077,-0.5666143604846043,0.02165311574935913,-0.03994368016719818,L,7,-0.059,2,1,Se,1,1,1,2,10.44,1,0,0,0,0,1,0,0,2
Thecla betulae,1,Lycaenidae,2877,633038,3.5609731832084726,0.10009557008743286,6.440556287765503,E,4.5,-0.016,4,0.129,Se,1,3,2,1,8.62,0,0,1,1,1,0,0,0,1
Thymelicus acteon,1,Hesperiidae,293,159584,-0.034039436291296354,0.03620234131813049,0.04349870979785919,L,4.5,-0.056,3,0.118,Sb,1,1,2,1.5,11.31,1,1,0,0,0,1,0,0,2
Thymelicus lineola,2,Hesperiidae,12364,728398,-0.033400893172490065,0.0256592258810997,0.3059436082839966,E,3.5,-0.052,4,0.067,Lb,2,2,2,1,8.69,1,1,0,0,1,0,0,0,1
Thymelicus sylvestris,2,Hesperiidae,2169,385780,-2.0533294479601754,-0.005074232816696167,-0.60499107837677,L,4.5,-0.045,3,0.101,Sb,1,2,2,1,9.87,1,1,0,0,0,1,0,0,2
Vanessa atalanta,1,Nymphalidae,37917,958586,2.6153627830905215,0.06999999284744263,2.9287803173065186,A,8.5,0.065,3,0.316,Se,1,7,2,2,9.07,1,1,0,0,0,0,0,1,4.5
Vanessa cardui,1,Nymphalidae,25719,961536,2.0150067003848537,0.05460067093372345,2.3660424947738647,A,8,0.055,4,0.083,Se,1,4,2,2,9.04,1,1,0,0,0,0,0,1,4.5
Zerynthia polyxena,2,Papilionidae,419,38016,-0.10371916425085814,0.10552851855754852,1.0777979791164398,P,4,0.031,2,0.5,Sb,3,1,2,1,10.67,1,0,0,0,0,0,1,0,3.5
Zerynthia rumina,2,Papilionidae,1621,48193,-1.654428682466063,0.01064985990524292,0.36021697521209717,P,5,0.025,2,0.577,Sb,3,1,2,1.25,13.87,1,0,0,0,0,0,1,0,3.5
